Make,Model,Year,Price,BodyStyle,Trim,FuelType,CityMPG,HighwayMPG,Drivetrain,Transmission,Engine,Link
Ford,Transit-350,2017,39455,CargoVan,Base,E85 Flex Fuel,,,RWD,6-Speed Automatic,3.7L V6 24V MPFI DOHC,http://cars.com/vehicledetail/detail/731462461/overview/
Ford,Transit-350,2017,39594,CargoVan,Base,Gasoline,,,RWD,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,http://cars.com/vehicledetail/detail/744033218/overview/
Ford,Transit-350,2017,38969,CargoVan,Base,E85 Flex Fuel,,,RWD,6-Speed Automatic,3.7L V6 24V MPFI DOHC,http://cars.com/vehicledetail/detail/706635906/overview/
Ford,Transit-350,2017,38665,CargoVan,XL,Gasoline,,,RWD,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,http://cars.com/vehicledetail/detail/682778480/overview/
Ford,Transit-350,2016,,CargoVan,Base,Gasoline,,,RWD,Automatic,3.5 L,http://cars.com/vehicledetail/detail/721327339/overview/
Ford,Transit-350,2016,39648,CargoVan,Base,Gasoline,,,RWD,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,http://cars.com/vehicledetail/detail/669138322/overview/
Ford,Transit-350,2016,40190,CargoVan,Base,Gasoline,,,RWD,6-Speed Automatic,3.7L V6 24V MPFI DOHC,http://cars.com/vehicledetail/detail/650075268/overview/
Ford,Transit-350,2015,55350,CargoVan,Base,Gasoline,,,RWD,6-Speed Automatic w/OD,Regular Unleaded V-6 3.7 L/228,http://cars.com/vehicledetail/detail/641207020/overview/
Ford,Unknown,2019,40673,CargoVan,,Gasoline,,,Rear Wheel Drive,,,http://cars.com/vehicledetail/detail/751361341/overview/
Ford,Unknown,2019,37595,CargoVan,Base,Gasoline,,,RWD,Automatic,3.7 L,http://cars.com/vehicledetail/detail/762153733/overview/
Ford,Unknown,2018,47441,CargoVan,,Gasoline,,,RWD,6-Speed Automatic w/OD,Twin Turbo Regular Unleaded V-6 3.5 L/213,http://cars.com/vehicledetail/detail/758100861/overview/
Ford,Unknown,2018,41337,CargoVan,,Gasoline,,,Rear Wheel Drive,,3.5L Ecoboost V6 Engine,http://cars.com/vehicledetail/detail/747725094/overview/
Ford,Unknown,2017,42150,CargoVan,,Gasoline,,,RWD,6-Speed Automatic w/OD,Twin Turbo Regular Unleaded V-6 3.5 L/213,http://cars.com/vehicledetail/detail/753366917/overview/
GMC,Savana 2500,2019,31834,CargoVan,Work Van,E85 Flex Fuel,,,RWD,6-Speed Automatic,6.0L 8-Cylinder Flex Fuel,http://cars.com/vehicledetail/detail/767926791/overview/
GMC,Savana 2500,2019,31764,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/760097417/overview/
GMC,Savana 2500,2019,28762,CargoVan,Work Van,Gasoline,,,RWD,8-Speed Automatic,4.3L V6 12V GDI OHV,http://cars.com/vehicledetail/detail/767342463/overview/
GMC,Savana 2500,2019,37548,CargoVan,Work Van,E85 Flex Fuel,,,RWD,6-Speed Automatic,6.0L 8-Cylinder Flex Fuel,http://cars.com/vehicledetail/detail/767926772/overview/
GMC,Savana 2500,2019,29726,CargoVan,Work Van,Gasoline,,,RWD,Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/764983701/overview/
GMC,Savana 2500,2018,31876,CargoVan,Work Van,Gasoline,,,RWD,Automatic,4.3L V6 12V GDI OHV,http://cars.com/vehicledetail/detail/744417583/overview/
GMC,Savana 2500,2018,58900,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/741735926/overview/
GMC,Savana 2500,2018,60899,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/749595400/overview/
